港澳台(备用),#genre#
TLC旅游生活,vjms://58.215.133.185:8500:3502/live/cid=103
博斯高球,vjms://58.215.133.185:8500:3502/live/cid=265
HBOHD,vjms://58.215.133.185:8500:3502/live/cid=261
動物星球,vjms://58.215.133.185:8500:3502/live/cid=3
TLC,vjms://58.215.133.185:8500:3502/live/cid=103
緯來戲劇,vjms://58.215.133.185:8500:3502/live/cid=137
緯來體育,vjms://58.215.133.185:8500:3502/live/cid=202
博斯高球,vjms://58.215.133.185:8500:3502/live/cid=265
三立新聞HD,vjms://58.215.133.185:8500:3502/live/cid=352
三立都會HD,vjms://58.215.133.185:8500:3502/live/cid=226
非凡新聞,vjms://58.215.133.185:8500:3502/live/cid=443
東森新聞,vjms://58.215.133.185:8500:3502/live/cid=340
FOX1,vjms://58.215.133.185:8500:3502/live/cid=97
FOX2,vjms://58.215.133.185:8500:3502/live/cid=444
FOX3,vjms://58.215.133.185:8500:3502/live/cid=95
FOX體育2,vjms://58.215.133.185:8500:3502/live/cid=444
FOX體育3,vjms://58.215.133.185:8500:3502/live/cid=95
FOXMOVIES,vjms://58.215.133.185:8500:3502/live/cid=94
非凡新聞,vjms://58.215.133.185:8500:3502/live/cid=443
迪士尼,vjms://58.215.133.185:8500:3502/live/cid=361
衛視電影,vjms://58.215.133.185:8500:3502/live/cid=94
NGCWild(HD),vjms://58.215.133.185:8500:3502/live/cid=361
NGC(HD),vjms://58.215.133.185:8500:3502/live/cid=115
DiscoveryHDWORLD,vjms://58.215.133.185:8500:3502/live/cid=440
CNBC(ENG),vjms://58.215.133.185:8500:3502/live/cid=98
Bloomberg,vjms://58.215.133.185:8500:3502/live/cid=392
Fashion,vjms://58.215.133.185:8500:3502/live/cid=399
ELTA體育,vjms://58.215.133.185:8500:3502/live/cid=266
國家地理,vjms://58.215.133.185:8500:3502/live/cid=115
國家地理HD,vjms://58.215.133.185:8500:3502/live/cid=263
CNBC,vjms://58.215.133.185:8500:3502/live/cid=98
發現科學,vjms://58.215.133.185:8500:3502/live/cid=440
BBC,vjms://58.215.133.185:8500:3502/live/cid=418
MTV,vjms://58.215.133.185:8500:3502/live/cid=52
臺-東森財經新聞HD,vjms://58.215.133.185:8500:3502/live/cid=456
臺-旅遊生活,vjms://58.215.133.185:8500:3502/live/cid=103
